Channel,Longitude,Latitude,Depth (m)
847,-0.25728,39.492,30.392
848,-0.25708,39.492,30.658
849,-0.25689,39.492,30.925
850,-0.2567,39.492,30.696
851,-0.2565,39.492,30.696
852,-0.25631,39.492,31.052
853,-0.25611,39.492,31.115
854,-0.25592,39.492,31.001
855,-0.25572,39.492,31.001
856,-0.25552,39.492,30.772
857,-0.25533,39.492,30.976
858,-0.25513,39.492,31.128
859,-0.25494,39.492,31.179
860,-0.25474,39.492,31.458
861,-0.25455,39.492,31.611
862,-0.25435,39.492,31.611
863,-0.25416,39.492,31.611
864,-0.25396,39.492,32.03
865,-0.25377,39.492,31.915
866,-0.25357,39.492,31.915
867,-0.25338,39.492,31.915
868,-0.25318,39.492,32.201
869,-0.25299,39.492,32.144
870,-0.25279,39.492,32.22
871,-0.2526,39.492,32.22
872,-0.2524,39.492,32.563
873,-0.25221,39.492,32.525
874,-0.25201,39.492,32.525
875,-0.25182,39.492,32.525
876,-0.25162,39.492,32.791
877,-0.25143,39.492,32.83
878,-0.25123,39.492,32.449
879,-0.25104,39.492,32.129
880,-0.25084,39.492,32.525
881,-0.25065,39.492,33.033
882,-0.25045,39.492,33.134
883,-0.25025,39.492,33.134
884,-0.25006,39.492,33.287
885,-0.24986,39.492,33.504
886,-0.24967,39.492,33.439
887,-0.24947,39.492,33.439
888,-0.24928,39.492,33.439
889,-0.24908,39.492,33.82
890,-0.24889,39.492,33.744
891,-0.24869,39.492,33.744
892,-0.2485,39.492,33.744
893,-0.2483,39.492,33.744
894,-0.2481,39.492,34.125
895,-0.24791,39.492,34.049
896,-0.24771,39.492,34.049
897,-0.24752,39.492,34.049
898,-0.24732,39.492,34.353
899,-0.24713,39.492,34.353
900,-0.24693,39.492,34.353
901,-0.24674,39.492,34.353
902,-0.24654,39.492,34.696
903,-0.24635,39.492,34.658
904,-0.24615,39.492,34.658
905,-0.24596,39.492,34.658
906,-0.24576,39.492,34.81
907,-0.24557,39.492,35.146
908,-0.24537,39.492,34.963
909,-0.24518,39.492,34.963
910,-0.24498,39.492,35.229
911,-0.24478,39.492,35.42
912,-0.24459,39.492,35.268
913,-0.24439,39.492,35.268
914,-0.2442,39.492,35.623
915,-0.244,39.492,35.687
916,-0.24381,39.492,35.572
917,-0.24361,39.492,35.572
918,-0.24341,39.492,35.999
919,-0.24322,39.492,35.942
920,-0.24302,39.492,35.877
921,-0.24283,39.492,36.144
922,-0.24263,39.492,36.334
923,-0.24244,39.492,36.182
924,-0.24224,39.492,36.182
925,-0.24205,39.492,36.487
926,-0.24185,39.492,36.487
927,-0.24165,39.492,36.487
928,-0.24146,39.492,36.913
929,-0.24126,39.492,36.857
930,-0.24107,39.492,36.791
931,-0.24087,39.492,37.035
932,-0.24068,39.492,37.218
933,-0.24048,39.492,37.101
934,-0.24029,39.492,37.081
935,-0.24009,39.492,37.327
936,-0.23989,39.492,37.421
937,-0.2397,39.492,37.375
938,-0.2395,39.492,37.782
939,-0.23931,39.492,37.716
940,-0.23911,39.492,37.69
941,-0.23892,39.492,37.995
942,-0.23872,39.492,38.015
943,-0.23853,39.492,37.99
944,-0.23833,39.492,38.391
945,-0.23813,39.492,38.315
946,-0.23794,39.492,38.546
947,-0.23774,39.492,38.386
948,-0.23755,39.492,39.136
949,-0.23735,39.492,39.212
950,-0.23716,39.492,39.464
951,-0.23696,39.492,39.464
952,-0.23677,39.492,39.665
953,-0.23657,39.492,39.766
954,-0.23638,39.492,39.993
955,-0.23618,39.492,40.169
956,-0.23598,39.492,40.386
957,-0.23579,39.492,40.37
958,-0.23559,39.492,40.622
959,-0.2354,39.492,40.664
960,-0.2352,39.492,40.899
961,-0.23501,39.492,41.051
962,-0.23481,39.492,41.277
963,-0.23462,39.492,41.378
964,-0.23442,39.492,41.58
965,-0.23422,39.492,41.605
966,-0.23403,39.492,41.882
967,-0.23383,39.492,41.882
968,-0.23364,39.492,42.033
969,-0.23344,39.492,42.386
970,-0.23325,39.492,42.562
971,-0.23305,39.492,42.789
972,-0.23285,39.492,42.89
973,-0.23266,39.492,43.091
974,-0.23246,39.492,43.393
975,-0.23227,39.492,43.595
976,-0.23207,39.492,43.595
977,-0.23188,39.492,43.998
978,-0.23168,39.492,43.998
979,-0.23149,39.492,44.633
980,-0.23129,39.492,44.905
981,-0.23109,39.492,45.106
982,-0.2309,39.492,45.207
983,-0.2307,39.492,45.509
984,-0.23051,39.492,45.661
985,-0.23031,39.492,45.812
986,-0.23012,39.492,46.114
987,-0.22992,39.492,46.114
988,-0.22973,39.492,46.21
989,-0.22953,39.492,46.114
990,-0.22934,39.492,46.139
991,-0.22914,39.492,46.719
992,-0.22894,39.492,46.618
993,-0.22875,39.492,46.719
